year,state,Arbitration Main and Misc,Bail Application,Civil Appeal,Civil Revision,Civil Suit,Cooperative Appeal Cases Main,Cooperative Appeal Cases Misc.,Cooperative Court Cases Main,Cooperative Court Cases Misc.,Criminal Appeal,Criminal Revision,Election Petition,Execution Petition,Industrial Court Main Cases,Industrial Court Misc. Cases,Juvenile Cases,Labour Court Main Cases,Labour Court Misc. Cases,Land Reference,MACP,Marriage Petition,Misc. Civil Appeal,Misc. Civil Application,Misc. Civil Cases,Misc. Criminal Applications,Misc. Execution,Other Tribunals,Pre-litigation,Pre-trial,Sessions Case,Warrant or Summons Criminal Cases
2018,Gujarat,0,1.0100018,7.2095561,4.0483871,5.7321563,0,0,0,0,2.4740825,1.4663754,2.5,3.910779,5.0273929,3.6853449,2.9287598,5.4150195,1.8125,12.070654,8.8471823,1.8289461,6.2265625,1.7199875,2.4431183,1.8939809,3.8800251,0,0,0,3.1114717,4.1679893
2018,Haryana,2.0991735,1.0003695,2.7213013,3.8000002,2.403759,0,0,0,0,2.0393076,1.5140384,2.8532112,2.4155767,0,0,1.4626803,0,0,4.1374283,1.9669102,1.4982973,1.7505598,1.4449366,2.0972607,1.6859124,3.2884617,0,0,0,1.4549295,1.611046
2018,Himachal Pradesh,2.8095238,1.0009035,2.1496496,4.916667,3.1843579,0,0,0,0,2.6366735,2.3186004,3.1111112,2.5952077,0,0,1.8292682,0,0,4.7494602,2.7845719,1.2727273,1.7085021,1.4318919,1.6777308,1.1428443,0,1,0,0,3.224977,1.3600248
2018,Jammu and Kashmir,2.970803,1.0170531,2.3492253,1.6046512,2.9266243,0,0,0,0,1.7142857,1.3225389,4.3333335,2.6972528,0,0,0,0,3,5.5614038,3.2717221,1.8192457,2.0588236,2.3049822,1.7511828,1.2481241,1.7173913,0,0,0,5.3538857,3.3529143
2018,Jharkhand,2.3684211,1.0044816,4.7392526,0,6.198276,0,0,0,0,2.5174356,1.3507463,5,4.7844458,1,0,0,4.7142859,0,8.7744808,3.7778215,1.532346,3.4137931,3.0306625,2.9873617,1.0458094,6.0967741,0,0,0,4.3684282,3.5076728
2018,Karnataka,2.4469388,1.2721093,3.4178178,2.2251308,3.6772571,0,0,0,0,1.7353303,1.4142439,2.5625,3.2347679,3.2857144,2.5359712,3.129518,2.2,3.1000001,4.7790289,1.9374152,1.7792031,2.4931822,2.6402009,2.1414795,1.2723005,4.5894709,0,0,0,2.035826,1.6730573
2018,Kerala,1.7170608,1.0182596,3.3434465,2.6166668,2.6959527,0,0,0,0,3.0215464,1.8545994,4,2.2518477,0,0,1.2670808,0,0,5.0771971,3.0238597,1.3327987,2.0778589,1.4849118,1.459456,1.5218251,4.2489877,0,0,0,3.4408083,2.2890785
2018,Madhya Pradesh,3.3921571,1.0009754,3.0422888,0,3.305552,0,0,0,0,2.0418413,1.4853647,3.4893615,3.7837589,0,0,0,0,0,0,2.2157936,1.60756,2.1282527,0,2.4676011,2.3962059,0,0,0,0,3.4741895,1.9760563
2018,Maharashtra,1.8918368,1.0031728,5.0536213,4.1270471,4.3858747,0,0,0,0,3.7470438,2.391118,3.840625,3.8174832,3.3559952,2.4161754,2.5982289,3.9784975,2.4656346,5.5695109,4.4356613,1.7669379,2.995312,1.8907453,2.000335,1.6419891,3.3114133,0,0,0,4.0717049,2.8435726
2018,Manipur,5.5,1.0716561,2.8499999,2.7313433,3.0039063,0,0,0,0,1.1666666,1.1296296,3,2.0104711,0,0,0,0,0,5.3125,2.635514,1.3372093,1.4000001,1.4323809,1.4056604,1.0530268,0,0,0,0,4.984221,2.0518618
2018,Meghalaya,3.4285715,1,3.8,5.5,5.8958335,0,0,0,0,1.6,2.1785715,4,5.2173915,0,0,2.2,0,0,3.625,7.1235952,2.2666667,3.125,1.2446352,2.0084269,1.6727642,0,7,0,0,4.1263161,2.620115
2018,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Orissa,3.3495145,1.0017462,4.7363739,2.6072702,4.6892223,0,0,0,0,3.1028113,2.1395881,2.0504451,5.8897958,1.52,0,2.2466106,0,0,5.1145873,3.6406703,2.3325272,3.389328,2.9070253,3.9384615,3.114404,7.9989691,4,0,0,2.6739392,4.5146837
2018,Punjab,1.5641172,1.0070263,2.1633673,1.5,2.7628067,0,0,0,0,1.9535087,1.3737084,4.4285717,2.5081117,0,0,1.4091816,0,0,3.605166,2.0002799,1.3247652,1.806589,1.7651398,2.1954911,1.4673358,2.3149607,0,0,0,2.2709055,1.547123
2018,Rajasthan,4.9281526,1.0039035,4.4777269,2.9854369,4.8996148,5.9873419,0,0,5.034483,2.0729778,1.714106,3.5846994,3.8990526,12.555555,19.214285,0,9.9303904,11.830609,12.592794,3.7835789,1.537385,2.9090631,3.3815334,2.3824191,1.6859905,5.7005649,3.010047,0,0,3.1830297,2.9657481
2018,Sikkim,1.25,1,1.5185184,1,1.1801566,0,0,0,0,1.1363636,1.0833334,1,1.5405405,0,0,1,0,0,0,1.1627907,0,1,1,1.0229226,1.003937,0,1.6206896,0,0,1.7873133,1.3893905
2018,Tamil Nadu,3.6623933,0,3.7760012,2.4202898,3.5177801,0,0,0,0,2.4415498,2.1165991,6.333334,2.7954926,4.7334042,0,1.0390335,0,0,8.9507132,2.6724098,1.8168201,3.5888889,2.095499,2.7221215,1.0577835,0,0,0,0,2.4413438,2.1957107
2018,Telangana,2.927835,1.0013433,4.3327484,0,4.0482478,0,0,0,0,2.0789886,1.3915288,3.5,2.836844,3.4098361,3.5,1.7004367,0,0,5.6137071,3.0558224,1.6194794,2.9627714,2.4285717,3.0572145,1.8897696,0,0,0,0,3.3578622,2.5959885
