,StateName,stateabb,ST_CODE,PC_CODE,bigstate,PCNAME,pc_name_n,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,representation
83,Bihar,BH,S04,25,1.0,Khagaria,Khagaria,800786.0,705750.0,1506587.0,445941.0,450160.0,896101.0,2014.0,1.0
84,Bihar,BH,S04,26,1.0,Bhagalpur,Bhagalpur,895185.0,790098.0,1685339.0,522417.0,451535.0,973953.0,2014.0,0.0
85,Bihar,BH,S04,27,1.0,Banka,Banka,824924.0,724490.0,1549456.0,461297.0,438021.0,899318.0,2014.0,0.0
86,Bihar,BH,S04,28,1.0,Munger,Munger,937897.0,782040.0,1719984.0,505931.0,408329.0,914268.0,2014.0,0.0
87,Bihar,BH,S04,29,1.0,Nalanda,Nalanda,1036575.0,915392.0,1951967.0,503039.0,418609.0,921648.0,2014.0,0.0
88,Bihar,BH,S04,30,1.0,Patna Sahib,Patna Sahib,1052278.0,893885.0,1946249.0,510480.0,369747.0,880227.0,2014.0,0.0
89,Bihar,BH,S04,31,1.0,Pataliputra,Pataliputra,934086.0,801923.0,1736074.0,553018.0,423797.0,976815.0,2014.0,0.0
90,Bihar,BH,S04,32,1.0,Arrah,Arrah,1016299.0,808210.0,1824515.0,517499.0,375555.0,893054.0,2014.0,0.0
91,Bihar,BH,S04,33,1.0,Buxar,Buxar,877699.0,762929.0,1640671.0,494435.0,394512.0,888947.0,2014.0,0.0
92,Bihar,BH,S04,34,1.0,Sasaram (SC) ,Sasaram,859397.0,748291.0,1607747.0,448672.0,397016.0,845688.0,2014.0,0.0
93,Bihar,BH,S04,35,1.0,Karakat,Karakat,849474.0,730224.0,1580558.0,457406.0,332394.0,789800.0,2014.0,0.0
94,Bihar,BH,S04,36,1.0,Jahanabad,Jahanabad,751585.0,671629.0,1423246.0,445501.0,365502.0,811003.0,2014.0,1.0
95,Bihar,BH,S04,37,1.0,Aurangabad,Aurangabad,825574.0,710533.0,1536153.0,429944.0,355719.0,785663.0,2014.0,0.0
